Nazwa;Id;Moc;Cena;Link;Marka
GREE PULAR MATT - 2,5 kW;PU09M;2,5;13 750;https://gree.pl/produkt/klimatyzator-pular/;GREE
LG STANDARD 2 - 2,5 kW;S09ET;2,5;14 500;https://www.lg.com/pl/klimatyzatory/lg-s09et;LG
PANASONIC TZ WHITE - 2,5 kW;KIT-TZ25-ZKE;2,5;14 850;https://www.aircon.panasonic.eu/PL_pl/product/tz-super-compact-with-nanoe-x-r32/;PANASONIC
LG DELUXE - 2,5 kW;DC09RK;2,5;15 325;https://www.lg.com/pl/klimatyzatory/lg-dc09rk;LG
LG DUALCOOL DELUXE SOFT AIR - 2,5 kW;H09S1D;2,5;15 450;https://www.lg.com/pl/rozwiazania-dla-domu/lg-h09s1d;LG
PANASONIC ETHEREA WHITE - 2,5 kW;KIT-Z25-ZKE;2,5;15 750;https://www.aircon.panasonic.eu/PL_pl/product/etherea-inverter-pure-white-matt-r32/;PANASONIC
GREE PULAR PRO WHITE - 2,7 kW;PP09W;2,7;14 150;https://gree.pl/produkt/klimatyzator-pular-pro/;GREE
GREE CLIVIA WHITE - 2,7 kW;CL09W;2,7;14 550;https://gree.pl/produkt/klimatyzator-scienny-clivia/;GREE
GREE AIRY WHITE - 2,7 kW;AI09W;2,7;14 850;https://gree.pl/produkt/klimatyzator-scienny-airy/;GREE
GREE PULAR MATT - 3,2 kW;PU12M;3,2;13 875;https://gree.pl/produkt/klimatyzator-pular/;GREE
GREE PULAR PRO WHITE - 3,5 kW;PP12W;3,5;14 300;https://gree.pl/produkt/klimatyzator-pular-pro/;GREE
LG STANDARD 2 - 3,5 kW;S12ET;3,5;14 625;https://www.lg.com/pl/klimatyzatory/lg-s12et;LG
GREE CLIVIA WHITE - 3,5 kW;CL12W;3,5;14 675;https://gree.pl/produkt/klimatyzator-scienny-clivia/;GREE
GREE AIRY WHITE - 3,5 kW;AI12W;3,5;14 950;https://gree.pl/produkt/klimatyzator-scienny-airy/;GREE
PANASONIC TZ WHITE - 3,5 kW;KIT-TZ35-ZKE;3,5;15 275;https://www.aircon.panasonic.eu/PL_pl/product/tz-super-compact-with-nanoe-x-r32/;PANASONIC
LG DELUXE - 3,5 kW;DC12RK;3,5;15 450;https://www.lg.com/pl/rozwiazania-dla-domu/lg-dc12rk;LG
LG DUALCOOL DELUXE SOFT AIR - 3,5 kW;H12S1D;3,5;15 600;https://www.lg.com/pl/rozwiazania-dla-domu/lg-h12s1d;LG
PANASONIC ETHEREA WHITE - 3,5 kW;KIT-Z35-ZKE;3,5;16 150;https://www.aircon.panasonic.eu/PL_pl/product/etherea-inverter-pure-white-matt-r32/;PANASONIC
GREE PULAR MATT - 5 kW;PU18M;5;14 675;https://gree.pl/produkt/klimatyzator-pular/;GREE
GREE PULAR PRO WHITE - 5 kW;PP18W;5;15 500;https://gree.pl/produkt/klimatyzator-pular-pro/;GREE
LG STANDARD 2 - 5 kW;S18ET;5;15 700;https://www.lg.com/pl/klimatyzatory/lg-s18et;LG
GREE CLIVIA WHITE - 5 kW;CL18W;5;15 875;https://gree.pl/produkt/klimatyzator-scienny-clivia/;GREE
GREE AIRY WHITE - 5 kW;AI18W;5;16 025;https://gree.pl/produkt/klimatyzator-scienny-airy/;GREE
PANASONIC TZ WHITE - 5 kW;KIT-TZ50-ZKE;5;16 600;https://www.aircon.panasonic.eu/PL_pl/product/tz-super-compact-with-nanoe-x-r32/;PANASONIC
LG DELUXE - 5 kW;DC18RK;5;16 450;https://www.lg.com/pl/klimatyzatory/lg-dc18rk;LG
LG DUALCOOL DELUXE SOFT AIR - 5 kW;H18S1D;5;16 650;https://www.lg.com/pl/rozwiazania-dla-domu/lg-h18s1d;LG
PANASONIC ETHEREA WHITE - 5 kW;KIT-Z50-ZKE;5;17 250;https://www.aircon.panasonic.eu/PL_pl/product/etherea-inverter-pure-white-matt-r32/;PANASONIC
PANASONIC TZ WHITE - 6 kW;KIT-TZ60-ZKE;6;17 375;https://www.aircon.panasonic.eu/PL_pl/product/tz-super-compact-with-nanoe-x-r32/;PANASONIC
GREE PULAR MATT - 6,2 kW;PU24M;6,2;15 325;https://gree.pl/produkt/klimatyzator-pular/;GREE
LG STANDARD 2 - 6,4 kW;S24ET;6,4;16 400;https://www.lg.com/pl/klimatyzatory/lg-s09et;LG
LG DELUXE - 6,6 kW;DC24RK;6,6;17 350;https://www.lg.com/pl/klimatyzatory/lg-dc09rk;LG
LG DUALCOOL DELUXE SOFT AIR - 6,6 kW;H24S1D;6,6;17 600;https://www.lg.com/pl/rozwiazania-dla-domu/lg-h09s1d;LG
GREE PULAR PRO WHITE - 7,1 kW;PP24W;7,1;15 975;https://gree.pl/produkt/klimatyzator-pular-pro/;GREE
GREE CLIVIA WHITE - 7,1 kW;CL24W;7,1;16 300;https://gree.pl/produkt/klimatyzator-scienny-clivia/;GREE
GREE AIRY WHITE - 7,1 kW;AI24W;7,1;16 400;https://gree.pl/produkt/klimatyzator-scienny-airy/;GREE
PANASONIC TZ WHITE - 7,1 kW;KIT-TZ71-ZKE;7,1;18 575;https://www.aircon.panasonic.eu/PL_pl/product/tz-super-compact-with-nanoe-x-r32/;PANASONIC
PANASONIC ETHEREA WHITE - 7,1 kW;KIT-Z71-ZKE;7,1;19 950;https://www.aircon.panasonic.eu/PL_pl/product/etherea-inverter-pure-white-matt-r32/;PANASONIC
